DEVICE,BOTNET,CLASSIFIER,ACCURACY,PRECISION,RECALL,F1-SCORE,FALSE-P,FALSE-N
737E_Security_Cam,gafgyt,ADB,0.9999536475514319,0.9998734651309029,0.9999526590381427,0.9999130571571786,1,5
737E_Security_Cam,mirai,KNN,0.9957541287752061,0.9916203129162349,0.9888556832458942,0.9902325868919838,416,282
737E_Security_Cam,mirai,RFR,0.9999939170899358,0.9999755668491008,0.9999965261373427,0.9999860461886911,0,1
737E_Security_Cam,mirai,DTR,0.9999939170899358,0.9999755668491008,0.9999965261373427,0.9999860461886911,0,1
737E_Security_Cam,mirai,ADB,0.9999939170899358,0.9999755668491008,0.9999965261373427,0.9999860461886911,0,1
838_Security_Cam,gafgyt,KNN,0.9969366435427867,0.9950528842219553,0.9966067787599608,0.995826926611054,131,281
838_Security_Cam,gafgyt,RFR,0.9999776940063795,0.9999538418930978,0.9999852939734704,0.9999695667598143,0,3
838_Security_Cam,gafgyt,DTR,0.9999330820191386,0.9998929773271188,0.9999244255785034,0.9999087002794429,3,6
838_Security_Cam,gafgyt,ADB,0.9999925646687932,0.9999846130173873,0.9999950979911567,0.9999898553738757,0,1
838_Security_Cam,mirai,KNN,0.9928813773386684,0.9901138700490673,0.9864220884958588,0.9882555670198848,779,461
838_Security_Cam,mirai,RFR,0.9999942591752731,0.9999846602239607,0.9999964688517412,0.9999905644139603,0,1
838_Security_Cam,mirai,DTR,0.9999942591752731,0.9999846602239607,0.9999964688517412,0.9999905644139603,0,1
838_Security_Cam,mirai,ADB,0.9999942591752731,0.9999846602239607,0.9999964688517412,0.9999905644139603,0,1
Samsung_Webcam,gafgyt,KNN,0.9974641426540897,0.9931435868757464,0.9963105031867929,0.9947196230470661,91,223
Samsung_Webcam,gafgyt,RFR,0.9999838480423827,0.9999419043746005,0.9999906202808289,0.9999662605960757,0,2
Samsung_Webcam,gafgyt,DTR,0.9999273161907223,0.9998603394170787,0.9998359846206897,0.9998481615859874,5,4
Samsung_Webcam,gafgyt,ADB,0.9999919240211914,0.9999709504996515,0.9999953101404144,0.9999831298870865,0,1
1002_Security_Cam,gafgyt,KNN,0.9976957128130496,0.993811924334998,0.9962521260719525,0.9950277129125715,88,178
1002_Security_Cam,gafgyt,RFR,0.9999913372662145,0.9999675219227022,0.9999950021490759,0.9999812614959698,0,1
1002_Security_Cam,gafgyt,DTR,0.999982674532429,0.99996252196199,0.99996252196199,0.99996252196199,1,1
1002_Security_Cam,gafgyt,ADB,1.0,1.0,1.0,1.0,0,0
1002_Security_Cam,mirai,KNN,0.9981542125632629,0.9958232779248655,0.992028919271718,0.9939172144941236,235,106
1002_Security_Cam,mirai,RFR,0.999972935668083,0.9999852426405048,0.9998370592452583,0.999911137556982,5,0
1002_Security_Cam,mirai,DTR,1.0,1.0,1.0,1.0,0,0
1002_Security_Cam,mirai,ADB,1.0,1.0,1.0,1.0,0,0
1003_Security_Cam,gafgyt,KNN,0.9982321478501656,0.9902362960511177,0.9935496518110878,0.9918866106638827,75,121
1003_Security_Cam,gafgyt,RFR,0.9999819606923487,0.9998434809829394,0.9999904289734116,0.999916942681354,0,2
1003_Security_Cam,gafgyt,DTR,0.9999639213846973,0.9997604358695087,0.9999073594457133,0.999833885362708,1,3
1003_Security_Cam,gafgyt,ADB,0.9999819606923487,0.9999169304723017,0.9999169304723017,0.9999169304723017,1,1
1003_Security_Cam,mirai,KNN,0.9978224997022949,0.9886728922464704,0.9799932059007744,0.9842909827998481,251,133
1003_Security_Cam,mirai,RFR,1.0,1.0,1.0,1.0,0,0
1003_Security_Cam,mirai,DTR,0.9999603059841564,0.9994535519125682,0.9999794058287389,0.9997163292742024,0,7
1003_Security_Cam,mirai,ADB,1.0,1.0,1.0,1.0,0,0

