DEVICE,BOTNET,CLASSIFIER,TRAIN-SIZE-A,FALSE-P,FALSE-N,Total Wrong Predictions
Philips_Baby_Monitor,mirai,RFR,40000,0,24,24
Philips_Baby_Monitor,mirai,DTR,40000,0,17,17
Philips_Baby_Monitor,mirai,ADB,40000,0,30,30
Philips_Baby_Monitor,mirai,KNN,50000,3174,1385,4559
Philips_Baby_Monitor,mirai,RFR,50000,0,13,13
Philips_Baby_Monitor,mirai,DTR,50000,0,7,7
Philips_Baby_Monitor,mirai,ADB,50000,0,10,10
1002_Security_Cam,gafgyt,KNN,10,4632,35413,40045
1002_Security_Cam,gafgyt,RFR,10,10497,908,11405
1002_Security_Cam,gafgyt,DTR,10,32,201,233
1002_Security_Cam,gafgyt,ADB,10,11088,1026,12114
1002_Security_Cam,gafgyt,KNN,50,1805,692,2497
1002_Security_Cam,gafgyt,RFR,50,151,559,710
1002_Security_Cam,gafgyt,DTR,50,632,1101,1733
1002_Security_Cam,gafgyt,ADB,50,32,201,233
1002_Security_Cam,gafgyt,KNN,100,2130,638,2768
1002_Security_Cam,gafgyt,RFR,100,157,265,422
1002_Security_Cam,gafgyt,DTR,100,159,197,356
1002_Security_Cam,gafgyt,ADB,100,159,197,356
1002_Security_Cam,gafgyt,KNN,500,937,1015,1952
1002_Security_Cam,gafgyt,RFR,500,32,199,231
1002_Security_Cam,gafgyt,DTR,500,32,200,232
1002_Security_Cam,gafgyt,ADB,500,32,200,232
1002_Security_Cam,gafgyt,KNN,1000,672,1068,1740
1002_Security_Cam,gafgyt,RFR,1000,27,206,233
1002_Security_Cam,gafgyt,DTR,1000,40,414,454
1002_Security_Cam,gafgyt,ADB,1000,1,201,202
1002_Security_Cam,gafgyt,KNN,5000,146,984,1130
1002_Security_Cam,gafgyt,RFR,5000,35,90,125
1002_Security_Cam,gafgyt,DTR,5000,94,67,161
1002_Security_Cam,gafgyt,ADB,5000,41,61,102
1002_Security_Cam,gafgyt,KNN,10000,108,876,984
1002_Security_Cam,gafgyt,RFR,10000,1,114,115
1002_Security_Cam,gafgyt,DTR,10000,2,94,96
1002_Security_Cam,gafgyt,ADB,10000,1,71,72
1002_Security_Cam,gafgyt,KNN,20000,43,734,777
1002_Security_Cam,gafgyt,RFR,20000,1,73,74
1002_Security_Cam,gafgyt,DTR,20000,1,95,96
1002_Security_Cam,gafgyt,ADB,20000,0,50,50
1002_Security_Cam,gafgyt,KNN,40000,2,502,504
1002_Security_Cam,gafgyt,RFR,40000,0,19,19
1002_Security_Cam,gafgyt,DTR,40000,0,34,34
1002_Security_Cam,gafgyt,ADB,40000,0,3,3
1002_Security_Cam,gafgyt,KNN,50000,0,411,411
1002_Security_Cam,gafgyt,RFR,50000,0,19,19
1002_Security_Cam,gafgyt,DTR,50000,0,6,6
1002_Security_Cam,gafgyt,ADB,50000,0,6,6
1002_Security_Cam,mirai,KNN,10,4907,136206,141113
1002_Security_Cam,mirai,RFR,10,0,9992,9992
1002_Security_Cam,mirai,DTR,10,0,7942,7942
1002_Security_Cam,mirai,ADB,10,2042,14821,16863
1002_Security_Cam,mirai,KNN,50,5130,2794,7924
1002_Security_Cam,mirai,RFR,50,0,705,705
1002_Security_Cam,mirai,DTR,50,0,1861,1861
1002_Security_Cam,mirai,ADB,50,0,2596,2596
1002_Security_Cam,mirai,KNN,100,1948,1584,3532
1002_Security_Cam,mirai,RFR,100,0,784,784
1002_Security_Cam,mirai,DTR,100,0,2148,2148
1002_Security_Cam,mirai,ADB,100,0,2148,2148
1002_Security_Cam,mirai,KNN,500,1216,1582,2798
1002_Security_Cam,mirai,RFR,500,0,950,950
1002_Security_Cam,mirai,DTR,500,0,978,978
1002_Security_Cam,mirai,ADB,500,0,978,978
1002_Security_Cam,mirai,KNN,1000,907,1575,2482
1002_Security_Cam,mirai,RFR,1000,0,121,121
1002_Security_Cam,mirai,DTR,1000,137,108,245
1002_Security_Cam,mirai,ADB,1000,32,22,54
1002_Security_Cam,mirai,KNN,5000,585,2097,2682
1002_Security_Cam,mirai,RFR,5000,0,27,27
1002_Security_Cam,mirai,DTR,5000,0,37,37
1002_Security_Cam,mirai,ADB,5000,5,29,34
1002_Security_Cam,mirai,KNN,10000,489,1474,1963
1002_Security_Cam,mirai,RFR,10000,0,31,31
1002_Security_Cam,mirai,DTR,10000,0,26,26
1002_Security_Cam,mirai,ADB,10000,0,46,46
1002_Security_Cam,mirai,KNN,20000,290,1672,1962
1002_Security_Cam,mirai,RFR,20000,0,32,32
1002_Security_Cam,mirai,DTR,20000,0,17,17
1002_Security_Cam,mirai,ADB,20000,0,47,47
1002_Security_Cam,mirai,KNN,40000,58,1982,2040
1002_Security_Cam,mirai,RFR,40000,0,4,4
1002_Security_Cam,mirai,DTR,40000,0,4,4
1002_Security_Cam,mirai,ADB,40000,0,9,9
1002_Security_Cam,mirai,KNN,50000,0,2143,2143
1002_Security_Cam,mirai,RFR,50000,0,20,20
1002_Security_Cam,mirai,DTR,50000,0,6,6
1002_Security_Cam,mirai,ADB,50000,0,19,19
