DEVICE,BOTNET,CLASSIFIER,TRAIN-SIZE-A,TEST-SIZE-B,ACCURACY,PRECISION,RECALL,F1-SCORE,FALSE-P,FALSE-N
Philips_Baby_Monitor,gafgyt,ADB,5000,2802,0.9996,0.9995,0.9995,0.9995,90,120
Philips_Baby_Monitor,gafgyt,KNN,10000,5604,0.9956,0.9955,0.9952,0.9954,1110,841
Philips_Baby_Monitor,gafgyt,RFR,10000,5604,0.9996,0.9996,0.9996,0.9996,115,56
Philips_Baby_Monitor,gafgyt,DTR,10000,5604,0.9993,0.9994,0.9992,0.9993,225,70
Philips_Baby_Monitor,gafgyt,ADB,10000,5604,0.9997,0.9997,0.9997,0.9997,62,78
Philips_Baby_Monitor,gafgyt,KNN,50000,28018,0.9977,0.9976,0.9977,0.9977,309,430
Philips_Baby_Monitor,gafgyt,RFR,50000,28018,0.9999,0.9999,0.9999,0.9999,5,22
Philips_Baby_Monitor,gafgyt,DTR,50000,28018,0.9998,0.9998,0.9998,0.9998,31,34
Philips_Baby_Monitor,gafgyt,ADB,50000,28018,0.9999,0.9999,0.9999,0.9999,14,13
Philips_Baby_Monitor,gafgyt,KNN,100000,56037,0.9986,0.9986,0.9986,0.9986,136,149
Philips_Baby_Monitor,gafgyt,RFR,100000,56037,1.0,1.0,1.0,1.0,1,4
Philips_Baby_Monitor,gafgyt,DTR,100000,56037,0.9999,0.9999,0.9999,0.9999,14,10
Philips_Baby_Monitor,gafgyt,ADB,100000,56037,1.0,1.0,1.0,1.0,4,4
Philips_Baby_Monitor,gafgyt,KNN,200000,112074,0.9993,0.9987,0.9993,0.999,43,14
Philips_Baby_Monitor,gafgyt,RFR,200000,112074,1.0,1.0,1.0,1.0,1,0
Philips_Baby_Monitor,gafgyt,DTR,200000,112074,0.9999,0.9999,0.9999,0.9999,5,1
Philips_Baby_Monitor,gafgyt,ADB,200000,112074,1.0,1.0,1.0,1.0,1,0
Philips_Baby_Monitor,mirai,KNN,10,3,0.9062,0.8534,0.9036,0.874,17704,56017
Philips_Baby_Monitor,mirai,RFR,10,3,0.9898,0.9924,0.9782,0.9851,7485,503
Philips_Baby_Monitor,mirai,DTR,10,3,0.9528,0.9128,0.9692,0.9364,209,36886
Philips_Baby_Monitor,mirai,ADB,10,3,0.9636,0.93,0.9761,0.9502,236,28383
Philips_Baby_Monitor,mirai,KNN,50,14,0.9656,0.9602,0.9392,0.9492,19016,8035
Philips_Baby_Monitor,mirai,RFR,50,14,0.9923,0.9951,0.9828,0.9888,6043,0
Philips_Baby_Monitor,mirai,DTR,50,14,0.999,0.9991,0.998,0.9986,668,109
Philips_Baby_Monitor,mirai,ADB,50,14,0.9981,0.9986,0.996,0.9973,1394,74
Philips_Baby_Monitor,mirai,KNN,100,29,0.9751,0.9845,0.9441,0.9625,19576,0
Philips_Baby_Monitor,mirai,RFR,100,29,0.9997,0.9997,0.9996,0.9996,135,69
Philips_Baby_Monitor,mirai,DTR,100,29,0.9999,0.9998,1.0,0.9999,0,58
Philips_Baby_Monitor,mirai,ADB,100,29,0.999,0.9991,0.998,0.9986,653,124
Philips_Baby_Monitor,mirai,KNN,500,143,0.9878,0.9913,0.9736,0.9821,9110,455
Philips_Baby_Monitor,mirai,RFR,500,143,0.9991,0.9993,0.9981,0.9987,645,67
Philips_Baby_Monitor,mirai,DTR,500,143,0.9999,0.9998,1.0,0.9999,0,58
Philips_Baby_Monitor,mirai,ADB,500,143,0.9989,0.9991,0.9977,0.9984,770,99
Philips_Baby_Monitor,mirai,KNN,1000,287,0.989,0.992,0.9763,0.9839,8160,452
Philips_Baby_Monitor,mirai,RFR,1000,287,0.9999,0.9998,1.0,0.9999,0,58
Philips_Baby_Monitor,mirai,DTR,1000,287,0.9999,0.9998,1.0,0.9999,0,58
Philips_Baby_Monitor,mirai,ADB,1000,287,0.999,0.9991,0.998,0.9986,647,126
Philips_Baby_Monitor,mirai,KNN,5000,1435,0.9915,0.9934,0.9825,0.9878,5936,536
Philips_Baby_Monitor,mirai,RFR,5000,1435,0.9999,0.9998,1.0,0.9999,0,58
Philips_Baby_Monitor,mirai,DTR,5000,1435,0.9999,0.9998,1.0,0.9999,0,58
Philips_Baby_Monitor,mirai,ADB,5000,1435,0.9999,0.9998,1.0,0.9999,0,58
Philips_Baby_Monitor,mirai,KNN,10000,2869,0.9919,0.9939,0.9834,0.9885,5593,432
